January,Hour,MWh,February,Hour,MWh,March,Hour,MWh,April,Hour,MWh,May,Hour,MWh,June,Hour,MWh,July,Hour,MWh,August,Hour,MWh,September,Hour,MWh
1/1/23,1,61.24,2/1/23,1,70.7,3/1/23,1,71.17,4/1/23,1,69.72,5/1/23,1,68.62,6/1/23,1,66.29,7/1/23,1,63.37,8/1/23,1,60.7,9/1/23,1,61.84
1/1/23,2,61.23,2/1/23,2,70.86,3/1/23,2,71.11,4/1/23,2,69.29,5/1/23,2,68.07,6/1/23,2,66.36,7/1/23,2,63.13,8/1/23,2,59.92,9/1/23,2,61.5
1/1/23,3,61.47,2/1/23,3,70.46,3/1/23,3,71.09,4/1/23,3,68.82,5/1/23,3,67.86,6/1/23,3,66.46,7/1/23,3,68.55,8/1/23,3,60.05,9/1/23,3,61.25
1/1/23,4,61.41,2/1/23,4,70.47,3/1/23,4,71.47,4/1/23,4,69.84,5/1/23,4,68.05,6/1/23,4,66.16,7/1/23,4,71.64,8/1/23,4,66.51,9/1/23,4,61.09
1/1/23,5,61.25,2/1/23,5,70.23,3/1/23,5,71.4,4/1/23,5,69.56,5/1/23,5,68.04,6/1/23,5,66.21,7/1/23,5,71.56,8/1/23,5,69.96,9/1/23,5,61.19
1/1/23,6,60.98,2/1/23,6,70.38,3/1/23,6,71.44,4/1/23,6,69.45,5/1/23,6,69.65,6/1/23,6,69.11,7/1/23,6,71.31,8/1/23,6,70.19,9/1/23,6,62.28
1/1/23,7,60.92,2/1/23,7,70.29,3/1/23,7,71.48,4/1/23,7,69.35,5/1/23,7,71.47,6/1/23,7,70.77,7/1/23,7,71.15,8/1/23,7,70.12,9/1/23,7,69.92
1/1/23,8,60.93,2/1/23,8,70.41,3/1/23,8,71.43,4/1/23,8,70.23,5/1/23,8,71.52,6/1/23,8,70.84,7/1/23,8,71.13,8/1/23,8,69.83,9/1/23,8,70.21
1/1/23,9,61.09,2/1/23,9,70.33,3/1/23,9,71.51,4/1/23,9,72.87,5/1/23,9,71.85,6/1/23,9,71.37,7/1/23,9,71.29,8/1/23,9,69.71,9/1/23,9,70.08
1/1/23,10,61.38,2/1/23,10,70.38,3/1/23,10,71.39,4/1/23,10,72.71,5/1/23,10,71.85,6/1/23,10,71.86,7/1/23,10,70.12,8/1/23,10,68.79,9/1/23,10,70.13
1/1/23,11,61.55,2/1/23,11,70.7,3/1/23,11,71.3,4/1/23,11,72.41,5/1/23,11,71.47,6/1/23,11,71.71,7/1/23,11,68.48,8/1/23,11,66.7,9/1/23,11,69.82
1/1/23,12,61.68,2/1/23,12,70.64,3/1/23,12,71.08,4/1/23,12,71.48,5/1/23,12,71.16,6/1/23,12,71.23,7/1/23,12,66.36,8/1/23,12,66.09,9/1/23,12,69.2
1/1/23,13,61.91,2/1/23,13,70.55,3/1/23,13,70.01,4/1/23,13,72.32,5/1/23,13,71.22,6/1/23,13,71.09,7/1/23,13,65.37,8/1/23,13,65.21,9/1/23,13,68.91
1/1/23,14,62.03,2/1/23,14,70.68,3/1/23,14,69.34,4/1/23,14,70.78,5/1/23,14,71,6/1/23,14,70.54,7/1/23,14,64.23,8/1/23,14,64.68,9/1/23,14,68.08
1/1/23,15,61.97,2/1/23,15,70.67,3/1/23,15,68.52,4/1/23,15,70.39,5/1/23,15,70.41,6/1/23,15,70.28,7/1/23,15,63.32,8/1/23,15,64.54,9/1/23,15,67.37
1/1/23,16,61.89,2/1/23,16,70.72,3/1/23,16,68.43,4/1/23,16,72.1,5/1/23,16,70.01,6/1/23,16,69.74,7/1/23,16,61.93,8/1/23,16,60.87,9/1/23,16,67.35
1/1/23,17,61.92,2/1/23,17,70.58,3/1/23,17,68.22,4/1/23,17,71.45,5/1/23,17,69.99,6/1/23,17,69.63,7/1/23,17,61.62,8/1/23,17,58.51,9/1/23,17,67.28
1/1/23,18,60.86,2/1/23,18,70.65,3/1/23,18,68.12,4/1/23,18,70.76,5/1/23,18,69.79,6/1/23,18,69.5,7/1/23,18,61.47,8/1/23,18,62.63,9/1/23,18,67.17
1/1/23,19,57.99,2/1/23,19,70.46,3/1/23,19,68.25,4/1/23,19,70.91,5/1/23,19,69.7,6/1/23,19,69.48,7/1/23,19,61.62,8/1/23,19,62.8,9/1/23,19,66.83
1/1/23,20,61.21,2/1/23,20,69.9,3/1/23,20,67.9,4/1/23,20,71.36,5/1/23,20,69.11,6/1/23,20,69.17,7/1/23,20,61.51,8/1/23,20,62.41,9/1/23,20,66.28
1/1/23,21,61.35,2/1/23,21,69.98,3/1/23,21,68.13,4/1/23,21,71.54,5/1/23,21,68.49,6/1/23,21,68.84,7/1/23,21,61.43,8/1/23,21,61.43,9/1/23,21,65.7
1/1/23,22,61.41,2/1/23,22,69.94,3/1/23,22,68.01,4/1/23,22,70.99,5/1/23,22,68.08,6/1/23,22,68.29,7/1/23,22,61.27,8/1/23,22,61.15,9/1/23,22,65.35
1/1/23,23,61.21,2/1/23,23,70.07,3/1/23,23,67.86,4/1/23,23,70.99,5/1/23,23,69.38,6/1/23,23,67.88,7/1/23,23,61.04,8/1/23,23,61.66,9/1/23,23,65.11
1/1/23,24,61.1,2/1/23,24,72.01,3/1/23,24,70.84,4/1/23,24,70.57,5/1/23,24,70.06,6/1/23,24,67.53,7/1/23,24,61.14,8/1/23,24,61.86,9/1/23,24,65.02
1/2/23,1,60.96,2/2/23,1,71.62,3/2/23,1,70.85,4/2/23,1,70.17,5/2/23,1,70.22,6/2/23,1,67.11,7/2/23,1,60.5,8/2/23,1,61.84,9/2/23,1,64.76
1/2/23,2,61.04,2/2/23,2,71.46,3/2/23,2,70.53,4/2/23,2,69.5,5/2/23,2,70.47,6/2/23,2,66.83,7/2/23,2,60.38,8/2/23,2,61.56,9/2/23,2,64.16
1/2/23,3,60.97,2/2/23,3,71.7,3/2/23,3,70.22,4/2/23,3,69.2,5/2/23,3,70.26,6/2/23,3,66.44,7/2/23,3,63.13,8/2/23,3,61.39,9/2/23,3,63.39
1/2/23,4,60.92,2/2/23,4,71.83,3/2/23,4,69.98,4/2/23,4,69.13,5/2/23,4,69.85,6/2/23,4,70.42,7/2/23,4,70.59,8/2/23,4,68.04,9/2/23,4,69.22
1/2/23,5,60.84,2/2/23,5,71.63,3/2/23,5,70.44,4/2/23,5,69,5/2/23,5,69.97,6/2/23,5,70.92,7/2/23,5,70.7,8/2/23,5,70.91,9/2/23,5,70.28
1/2/23,6,60.8,2/2/23,6,71.42,3/2/23,6,70.37,4/2/23,6,68.57,5/2/23,6,70,6/2/23,6,70.74,7/2/23,6,70.86,8/2/23,6,70.78,9/2/23,6,69.78
1/2/23,7,60.76,2/2/23,7,71.41,3/2/23,7,70.17,4/2/23,7,68.39,5/2/23,7,70.11,6/2/23,7,70.71,7/2/23,7,70.23,8/2/23,7,69.98,9/2/23,7,69.56
1/2/23,8,60.71,2/2/23,8,71.31,3/2/23,8,70.24,4/2/23,8,68.14,5/2/23,8,69.19,6/2/23,8,71.15,7/2/23,8,69.82,8/2/23,8,70.79,9/2/23,8,69.62
1/2/23,9,61.04,2/2/23,9,71.42,3/2/23,9,70.17,4/2/23,9,68.38,5/2/23,9,69.62,6/2/23,9,71.47,7/2/23,9,69.92,8/2/23,9,70.83,9/2/23,9,70.11
1/2/23,10,61.84,2/2/23,10,71.57,3/2/23,10,70.35,4/2/23,10,68.78,5/2/23,10,70.89,6/2/23,10,70.36,7/2/23,10,69.48,8/2/23,10,70.14,9/2/23,10,70.04
1/2/23,11,62.1,2/2/23,11,71.23,3/2/23,11,70.31,4/2/23,11,69.01,5/2/23,11,71.01,6/2/23,11,71.29,7/2/23,11,68.54,8/2/23,11,69.75,9/2/23,11,69.79
1/2/23,12,62.03,2/2/23,12,70.25,3/2/23,12,70.15,4/2/23,12,69.29,5/2/23,12,70.96,6/2/23,12,70.87,7/2/23,12,67.07,8/2/23,12,68.64,9/2/23,12,69.26
1/2/23,13,61.82,2/2/23,13,71.12,3/2/23,13,69.14,4/2/23,13,70.04,5/2/23,13,70.79,6/2/23,13,70.48,7/2/23,13,66.02,8/2/23,13,67.88,9/2/23,13,68.73
1/2/23,14,61.67,2/2/23,14,71.19,3/2/23,14,68.85,4/2/23,14,70.97,5/2/23,14,70.55,6/2/23,14,69.68,7/2/23,14,64.04,8/2/23,14,67.35,9/2/23,14,67.99
1/2/23,15,61.15,2/2/23,15,71.06,3/2/23,15,71.46,4/2/23,15,70.66,5/2/23,15,70.29,6/2/23,15,69.34,7/2/23,15,62.97,8/2/23,15,64.51,9/2/23,15,66.65
1/2/23,16,60.91,2/2/23,16,71.41,3/2/23,16,71.6,4/2/23,16,70.96,5/2/23,16,70.07,6/2/23,16,68.94,7/2/23,16,62.2,8/2/23,16,64.95,9/2/23,16,66.66
1/2/23,17,59.36,2/2/23,17,71.43,3/2/23,17,71.68,4/2/23,17,70.7,5/2/23,17,69.31,6/2/23,17,68.86,7/2/23,17,61.63,8/2/23,17,64.51,9/2/23,17,66.35
1/2/23,18,60.47,2/2/23,18,71.23,3/2/23,18,71.41,4/2/23,18,70.73,5/2/23,18,69.43,6/2/23,18,68.68,7/2/23,18,60.61,8/2/23,18,65.19,9/2/23,18,66.23
1/2/23,19,61.34,2/2/23,19,71.3,3/2/23,19,71,4/2/23,19,70.06,5/2/23,19,69.77,6/2/23,19,68.61,7/2/23,19,60.63,8/2/23,19,65.22,9/2/23,19,65.96
1/2/23,20,62,2/2/23,20,71.28,3/2/23,20,70.92,4/2/23,20,69.66,5/2/23,20,69.87,6/2/23,20,68.59,7/2/23,20,60.62,8/2/23,20,65.16,9/2/23,20,65.19
1/2/23,21,62.09,2/2/23,21,71.07,3/2/23,21,71.38,4/2/23,21,68.32,5/2/23,21,69.2,6/2/23,21,68.06,7/2/23,21,61.03,8/2/23,21,64.98,9/2/23,21,63.9
1/2/23,22,62.03,2/2/23,22,71.21,3/2/23,22,71.19,4/2/23,22,67.71,5/2/23,22,68.75,6/2/23,22,67.19,7/2/23,22,60.87,8/2/23,22,64.86,9/2/23,22,63.56
1/2/23,23,62.29,2/2/23,23,71.12,3/2/23,23,71.38,4/2/23,23,67.48,5/2/23,23,68.47,6/2/23,23,66.77,7/2/23,23,61.04,8/2/23,23,64.67,9/2/23,23,63.05
1/2/23,24,62.67,2/2/23,24,71.09,3/2/23,24,71.55,4/2/23,24,67.64,5/2/23,24,67.81,6/2/23,24,65.99,7/2/23,24,61.4,8/2/23,24,64.28,9/2/23,24,62.86
1/3/23,1,62.69,2/3/23,1,71.25,3/3/23,1,71.19,4/3/23,1,69.57,5/3/23,1,71.39,6/3/23,1,65.28,7/3/23,1,59.76,8/3/23,1,63.82,9/3/23,1,62.74
1/3/23,2,62.68,2/3/23,2,71.3,3/3/23,2,71.97,4/3/23,2,71.26,5/3/23,2,71.93,6/3/23,2,63.86,7/3/23,2,67.9,8/3/23,2,63.32,9/3/23,2,62.5
1/3/23,3,62.72,2/3/23,3,71.27,3/3/23,3,71.61,4/3/23,3,71.51,5/3/23,3,71.66,6/3/23,3,68.68,7/3/23,3,67.58,8/3/23,3,63.12,9/3/23,3,61.54
1/3/23,4,62.85,2/3/23,4,71.27,3/3/23,4,71.92,4/3/23,4,71.56,5/3/23,4,71.58,6/3/23,4,70.54,7/3/23,4,67.34,8/3/23,4,67.7,9/3/23,4,69.52
1/3/23,5,62.7,2/3/23,5,71.17,3/3/23,5,72.12,4/3/23,5,72.21,5/3/23,5,71.18,6/3/23,5,70.39,7/3/23,5,67,8/3/23,5,71.07,9/3/23,5,69.57
1/3/23,6,62.91,2/3/23,6,71.17,3/3/23,6,71.9,4/3/23,6,72.77,5/3/23,6,71.15,6/3/23,6,70.17,7/3/23,6,67.92,8/3/23,6,71.21,9/3/23,6,68.73
1/3/23,7,63.15,2/3/23,7,67.45,3/3/23,7,71.69,4/3/23,7,72.59,5/3/23,7,71.06,6/3/23,7,70.19,7/3/23,7,71.96,8/3/23,7,71.01,9/3/23,7,68.58
1/3/23,8,62.86,2/3/23,8,49.51,3/3/23,8,71.57,4/3/23,8,72.62,5/3/23,8,71.09,6/3/23,8,70.52,7/3/23,8,71.88,8/3/23,8,70.84,9/3/23,8,68.56
1/3/23,9,63.15,2/3/23,9,49.46,3/3/23,9,72.11,4/3/23,9,72.96,5/3/23,9,71.19,6/3/23,9,71.77,7/3/23,9,71.97,8/3/23,9,70.58,9/3/23,9,69.25
1/3/23,10,63.19,2/3/23,10,49.6,3/3/23,10,71.69,4/3/23,10,72.81,5/3/23,10,70.37,6/3/23,10,71.68,7/3/23,10,70.59,8/3/23,10,69.9,9/3/23,10,69.34
1/3/23,11,63.3,2/3/23,11,68.43,3/3/23,11,71.05,4/3/23,11,73.04,5/3/23,11,70.36,6/3/23,11,70.78,7/3/23,11,69.42,8/3/23,11,69.36,9/3/23,11,68.51
1/3/23,12,63.09,2/3/23,12,71.38,3/3/23,12,71.25,4/3/23,12,73.73,5/3/23,12,70.44,6/3/23,12,70.27,7/3/23,12,66.89,8/3/23,12,68.16,9/3/23,12,67.7
1/3/23,13,62.95,2/3/23,13,71.51,3/3/23,13,70.72,4/3/23,13,73.4,5/3/23,13,70.37,6/3/23,13,70.09,7/3/23,13,65.98,8/3/23,13,66.9,9/3/23,13,67.01
1/3/23,14,62.15,2/3/23,14,71.68,3/3/23,14,69.16,4/3/23,14,74.06,5/3/23,14,70.2,6/3/23,14,70.01,7/3/23,14,65.14,8/3/23,14,65.42,9/3/23,14,66.65
1/3/23,15,60.6,2/3/23,15,71.44,3/3/23,15,68.89,4/3/23,15,74.01,5/3/23,15,69.91,6/3/23,15,69.31,7/3/23,15,64.74,8/3/23,15,64.79,9/3/23,15,64.94
1/3/23,16,60.3,2/3/23,16,71.54,3/3/23,16,68.5,4/3/23,16,73.76,5/3/23,16,69.63,6/3/23,16,69.3,7/3/23,16,64.41,8/3/23,16,65.03,9/3/23,16,64.68
1/3/23,17,60.61,2/3/23,17,71.65,3/3/23,17,68.55,4/3/23,17,73.99,5/3/23,17,69.6,6/3/23,17,68.67,7/3/23,17,63.94,8/3/23,17,64.72,9/3/23,17,64.25
1/3/23,18,61.35,2/3/23,18,71.51,3/3/23,18,68.52,4/3/23,18,73.21,5/3/23,18,69.89,6/3/23,18,68.63,7/3/23,18,63.47,8/3/23,18,64.61,9/3/23,18,64.22
1/3/23,19,62.06,2/3/23,19,71.09,3/3/23,19,68.88,4/3/23,19,72.78,5/3/23,19,69.73,6/3/23,19,69.14,7/3/23,19,63.84,8/3/23,19,64.39,9/3/23,19,63.85
1/3/23,20,62.38,2/3/23,20,70.7,3/3/23,20,68.89,4/3/23,20,72.16,5/3/23,20,69.36,6/3/23,20,68.75,7/3/23,20,63.68,8/3/23,20,62.34,9/3/23,20,63.34
1/3/23,21,62.1,2/3/23,21,70.42,3/3/23,21,68.54,4/3/23,21,73.06,5/3/23,21,69.03,6/3/23,21,68.34,7/3/23,21,63.43,8/3/23,21,61.75,9/3/23,21,61.83
1/3/23,22,62.27,2/3/23,22,70.06,3/3/23,22,68.06,4/3/23,22,73.22,5/3/23,22,68.05,6/3/23,22,67.99,7/3/23,22,63.36,8/3/23,22,61.86,9/3/23,22,61.2
1/3/23,23,62.18,2/3/23,23,69.81,3/3/23,23,67.1,4/3/23,23,73.3,5/3/23,23,70.24,6/3/23,23,67.33,7/3/23,23,63.35,8/3/23,23,61.78,9/3/23,23,60.59
1/3/23,24,62.39,2/3/23,24,69.69,3/3/23,24,66.55,4/3/23,24,73.34,5/3/23,24,70.51,6/3/23,24,66.77,7/3/23,24,63.23,8/3/23,24,61.41,9/3/23,24,60.45
1/4/23,1,62.64,2/4/23,1,69.85,3/4/23,1,66.21,4/4/23,1,73.76,5/4/23,1,70.09,6/4/23,1,67.49,7/4/23,1,63.1,8/4/23,1,61.34,9/4/23,1,60.6
1/4/23,2,62.71,2/4/23,2,69.67,3/4/23,2,67.81,4/4/23,2,74.16,5/4/23,2,69.78,6/4/23,2,70.38,7/4/23,2,62.9,8/4/23,2,61.61,9/4/23,2,60.31
1/4/23,3,62.57,2/4/23,3,69.61,3/4/23,3,71.37,4/4/23,3,74.07,5/4/23,3,70.12,6/4/23,3,69.74,7/4/23,3,61.79,8/4/23,3,61.7,9/4/23,3,61.78
1/4/23,4,62.45,2/4/23,4,69.66,3/4/23,4,70.84,4/4/23,4,74.29,5/4/23,4,71.51,6/4/23,4,69.71,7/4/23,4,69.96,8/4/23,4,65.81,9/4/23,4,68.58
1/4/23,5,62.45,2/4/23,5,69.75,3/4/23,5,70.5,4/4/23,5,74.2,5/4/23,5,71.32,6/4/23,5,69.82,7/4/23,5,71.47,8/4/23,5,66.89,9/4/23,5,68.27
1/4/23,6,62.36,2/4/23,6,63.17,3/4/23,6,70.52,4/4/23,6,74.1,5/4/23,6,71.36,6/4/23,6,69.61,7/4/23,6,71.15,8/4/23,6,70.21,9/4/23,6,68.1
1/4/23,7,62.32,2/4/23,7,48.19,3/4/23,7,70.26,4/4/23,7,74.21,5/4/23,7,71.24,6/4/23,7,69.48,7/4/23,7,71.05,8/4/23,7,71.01,9/4/23,7,67.98
1/4/23,8,62.15,2/4/23,8,48.21,3/4/23,8,70.28,4/4/23,8,73.97,5/4/23,8,71.41,6/4/23,8,71.87,7/4/23,8,71.2,8/4/23,8,70.6,9/4/23,8,67.85
1/4/23,9,54.63,2/4/23,9,48.31,3/4/23,9,70.82,4/4/23,9,74.12,5/4/23,9,72.06,6/4/23,9,72.31,7/4/23,9,71.18,8/4/23,9,70.68,9/4/23,9,68.62
1/4/23,10,18.6,2/4/23,10,67.59,3/4/23,10,71.42,4/4/23,10,74.37,5/4/23,10,72.56,6/4/23,10,72.56,7/4/23,10,69.54,8/4/23,10,70.15,9/4/23,10,69
1/4/23,11,0.22,2/4/23,11,70.1,3/4/23,11,71.11,4/4/23,11,74.34,5/4/23,11,72.72,6/4/23,11,72.19,7/4/23,11,67.49,8/4/23,11,70.13,9/4/23,11,68.43
1/4/23,12,0.22,2/4/23,12,70.37,3/4/23,12,70.39,4/4/23,12,74.37,5/4/23,12,72.33,6/4/23,12,71.59,7/4/23,12,65.63,8/4/23,12,69.92,9/4/23,12,67.43
1/4/23,13,0.21,2/4/23,13,70.74,3/4/23,13,71.04,4/4/23,13,74.28,5/4/23,13,72.1,6/4/23,13,70.55,7/4/23,13,64.25,8/4/23,13,69.15,9/4/23,13,65.86
1/4/23,14,0.22,2/4/23,14,70.97,3/4/23,14,70.57,4/4/23,14,73.59,5/4/23,14,72.05,6/4/23,14,70.24,7/4/23,14,64.17,8/4/23,14,67.59,9/4/23,14,64.76
1/4/23,15,0.21,2/4/23,15,71.19,3/4/23,15,69.96,4/4/23,15,73.06,5/4/23,15,71.73,6/4/23,15,69.23,7/4/23,15,64.02,8/4/23,15,66.05,9/4/23,15,64.25
1/4/23,16,0.22,2/4/23,16,71.25,3/4/23,16,69.94,4/4/23,16,72.38,5/4/23,16,71.47,6/4/23,16,68.8,7/4/23,16,63.84,8/4/23,16,64.85,9/4/23,16,63.44
1/4/23,17,3.95,2/4/23,17,71.23,3/4/23,17,69.97,4/4/23,17,71.29,5/4/23,17,71.14,6/4/23,17,68.64,7/4/23,17,63.32,8/4/23,17,63.48,9/4/23,17,63.1
1/4/23,18,54.09,2/4/23,18,71,3/4/23,18,69.85,4/4/23,18,70.78,5/4/23,18,71.14,6/4/23,18,68.75,7/4/23,18,63.87,8/4/23,18,63.8,9/4/23,18,62.92
1/4/23,19,59.34,2/4/23,19,70.73,3/4/23,19,69.42,4/4/23,19,70.82,5/4/23,19,70.92,6/4/23,19,68.61,7/4/23,19,63.56,8/4/23,19,63.81,9/4/23,19,62.82
1/4/23,20,59.82,2/4/23,20,70.43,3/4/23,20,68.62,4/4/23,20,71.09,5/4/23,20,70.65,6/4/23,20,68.36,7/4/23,20,63.91,8/4/23,20,63.86,9/4/23,20,61.97
1/4/23,21,60.71,2/4/23,21,70.25,3/4/23,21,68.21,4/4/23,21,71.44,5/4/23,21,69.51,6/4/23,21,67.75,7/4/23,21,63.52,8/4/23,21,63.69,9/4/23,21,60.69
1/4/23,22,61.01,2/4/23,22,70.17,3/4/23,22,70.78,4/4/23,22,71.24,5/4/23,22,68.54,6/4/23,22,66.84,7/4/23,22,62.9,8/4/23,22,63.26,9/4/23,22,60.38
1/4/23,23,60.97,2/4/23,23,69.86,3/4/23,23,71.15,4/4/23,23,71.49,5/4/23,23,68.1,6/4/23,23,66.49,7/4/23,23,63.05,8/4/23,23,63.16,9/4/23,23,60.06
1/4/23,24,60.97,2/4/23,24,70.3,3/4/23,24,70.77,4/4/23,24,71.69,5/4/23,24,67.91,6/4/23,24,66.05,7/4/23,24,63.46,8/4/23,24,63.08,9/4/23,24,59.59
1/5/23,1,60.93,2/5/23,1,70.38,3/5/23,1,70.52,4/5/23,1,71.49,5/5/23,1,71.2,6/5/23,1,65.73,7/5/23,1,63.21,8/5/23,1,62.73,9/5/23,1,59.43
1/5/23,2,61.02,2/5/23,2,70.33,3/5/23,2,70.18,4/5/23,2,71.77,5/5/23,2,72.43,6/5/23,2,65.44,7/5/23,2,63.1,8/5/23,2,62.72,9/5/23,2,59.27
1/5/23,3,61.01,2/5/23,3,70.23,3/5/23,3,69.82,4/5/23,3,71.05,5/5/23,3,71.97,6/5/23,3,65.18,7/5/23,3,62.78,8/5/23,3,62.48,9/5/23,3,57.91
1/5/23,4,61.06,2/5/23,4,70.28,3/5/23,4,69.61,4/5/23,4,70.77,5/5/23,4,71.32,6/5/23,4,64.91,7/5/23,4,64.07,8/5/23,4,62.25,9/5/23,4,70.33
1/5/23,5,60.74,2/5/23,5,70.25,3/5/23,5,69.48,4/5/23,5,71,5/5/23,5,71.15,6/5/23,5,68.27,7/5/23,5,71.61,8/5/23,5,66.22,9/5/23,5,70.32
1/5/23,6,60.66,2/5/23,6,70.21,3/5/23,6,69.57,4/5/23,6,71.57,5/5/23,6,71.72,6/5/23,6,72.93,7/5/23,6,72.01,8/5/23,6,69.85,9/5/23,6,70.06
1/5/23,7,60.79,2/5/23,7,70.34,3/5/23,7,69.73,4/5/23,7,71.54,5/5/23,7,71.93,6/5/23,7,72.69,7/5/23,7,71.81,8/5/23,7,69.27,9/5/23,7,69.9
1/5/23,8,60.94,2/5/23,8,70.37,3/5/23,8,69.85,4/5/23,8,70.98,5/5/23,8,71.63,6/5/23,8,72.74,7/5/23,8,71.95,8/5/23,8,69.45,9/5/23,8,69.74
1/5/23,9,60.78,2/5/23,9,70.37,3/5/23,9,70.29,4/5/23,9,71.28,5/5/23,9,71.94,6/5/23,9,73.26,7/5/23,9,71.59,8/5/23,9,69.37,9/5/23,9,70.07
1/5/23,10,60.69,2/5/23,10,70.71,3/5/23,10,70.95,4/5/23,10,72.6,5/5/23,10,72.53,6/5/23,10,73.08,7/5/23,10,70.24,8/5/23,10,68.78,9/5/23,10,69.67
1/5/23,11,61,2/5/23,11,70.98,3/5/23,11,71.19,4/5/23,11,71.94,5/5/23,11,72.8,6/5/23,11,72.86,7/5/23,11,68.5,8/5/23,11,67.6,9/5/23,11,69.12
1/5/23,12,62.66,2/5/23,12,71.32,3/5/23,12,71.48,4/5/23,12,70.49,5/5/23,12,72.9,6/5/23,12,72.26,7/5/23,12,68.32,8/5/23,12,66.12,9/5/23,12,68.14
1/5/23,13,63.04,2/5/23,13,71.52,3/5/23,13,71.71,4/5/23,13,68.84,5/5/23,13,72.65,6/5/23,13,71.58,7/5/23,13,67.29,8/5/23,13,64.72,9/5/23,13,65.94
1/5/23,14,63.01,2/5/23,14,71.48,3/5/23,14,71.16,4/5/23,14,67.63,5/5/23,14,71.88,6/5/23,14,71.45,7/5/23,14,65.78,8/5/23,14,62.82,9/5/23,14,65.68
1/5/23,15,62.84,2/5/23,15,70.77,3/5/23,15,71.06,4/5/23,15,66.35,5/5/23,15,71.59,6/5/23,15,71.36,7/5/23,15,63.55,8/5/23,15,61.6,9/5/23,15,65.34
1/5/23,16,62.95,2/5/23,16,71.44,3/5/23,16,70.12,4/5/23,16,65.93,5/5/23,16,70.26,6/5/23,16,70.66,7/5/23,16,63.3,8/5/23,16,62.16,9/5/23,16,65.28
1/5/23,17,62.53,2/5/23,17,71.23,3/5/23,17,70.58,4/5/23,17,66.49,5/5/23,17,69.79,6/5/23,17,69.94,7/5/23,17,62.48,8/5/23,17,62.07,9/5/23,17,64.11
1/5/23,18,62.67,2/5/23,18,71.09,3/5/23,18,70.58,4/5/23,18,66.48,5/5/23,18,69.37,6/5/23,18,69.43,7/5/23,18,29.75,8/5/23,18,61.74,9/5/23,18,63.55
1/5/23,19,63.2,2/5/23,19,70.47,3/5/23,19,69.71,4/5/23,19,66.43,5/5/23,19,69.68,6/5/23,19,69.08,7/5/23,19,2.91,8/5/23,19,61.55,9/5/23,19,63.24
1/5/23,20,63.1,2/5/23,20,69.71,3/5/23,20,68.76,4/5/23,20,66.72,5/5/23,20,69.49,6/5/23,20,68.76,7/5/23,20,25.93,8/5/23,20,61.6,9/5/23,20,62.95
1/5/23,21,63.36,2/5/23,21,69.18,3/5/23,21,68.22,4/5/23,21,66.37,5/5/23,21,69.55,6/5/23,21,68.46,7/5/23,21,56.82,8/5/23,21,61.41,9/5/23,21,61.87
1/5/23,22,63.53,2/5/23,22,69.55,3/5/23,22,68.43,4/5/23,22,66.18,5/5/23,22,69.29,6/5/23,22,67.58,7/5/23,22,57.59,8/5/23,22,61.44,9/5/23,22,61.57
1/5/23,23,63.63,2/5/23,23,69.54,3/5/23,23,71.03,4/5/23,23,66.58,5/5/23,23,69.15,6/5/23,23,66.82,7/5/23,23,57.41,8/5/23,23,61.39,9/5/23,23,61.34
1/5/23,24,63.73,2/5/23,24,70.26,3/5/23,24,71.23,4/5/23,24,69.15,5/5/23,24,69.1,6/5/23,24,66.51,7/5/23,24,57.29,8/5/23,24,61.01,9/5/23,24,61.51
1/6/23,1,63.64,2/6/23,1,71.18,3/6/23,1,70.41,4/6/23,1,69.43,5/6/23,1,70.83,6/6/23,1,68.77,7/6/23,1,58.05,8/6/23,1,60.8,9/6/23,1,61.16
1/6/23,2,63.5,2/6/23,2,71.15,3/6/23,2,70.2,4/6/23,2,69.3,5/6/23,2,72.73,6/6/23,2,71.57,7/6/23,2,58.07,8/6/23,2,60.66,9/6/23,2,60.72
1/6/23,3,63.34,2/6/23,3,71.11,3/6/23,3,69.81,4/6/23,3,69.44,5/6/23,3,72.77,6/6/23,3,71.29,7/6/23,3,57.45,8/6/23,3,60.4,9/6/23,3,60.72
1/6/23,4,63.33,2/6/23,4,71.01,3/6/23,4,69.8,4/6/23,4,69.17,5/6/23,4,72.6,6/6/23,4,71.2,7/6/23,4,57.38,8/6/23,4,60.26,9/6/23,4,63.31
1/6/23,5,63.41,2/6/23,5,70.92,3/6/23,5,69.81,4/6/23,5,68.84,5/6/23,5,72.58,6/6/23,5,70.87,7/6/23,5,64.45,8/6/23,5,65.66,9/6/23,5,66.19
1/6/23,6,63.31,2/6/23,6,70.7,3/6/23,6,69.84,4/6/23,6,68.92,5/6/23,6,72.46,6/6/23,6,70.53,7/6/23,6,68.79,8/6/23,6,69.36,9/6/23,6,65.97
1/6/23,7,63.27,2/6/23,7,70.71,3/6/23,7,69.84,4/6/23,7,68.77,5/6/23,7,72.49,6/6/23,7,70.4,7/6/23,7,69.49,8/6/23,7,69.01,9/6/23,7,65.7
1/6/23,8,63.23,2/6/23,8,70.39,3/6/23,8,70.15,4/6/23,8,68.37,5/6/23,8,72.57,6/6/23,8,70.76,7/6/23,8,69.06,8/6/23,8,69.22,9/6/23,8,65.8
